City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,avarua,-21.21,-159.78,84.2,83,75,16.11,CK,1586378452
116,padang,-0.95,100.35,77.41,75,81,3.62,ID,1586378687
117,angoche,-16.23,39.91,78.84,82,9,6.33,MZ,1586378687
118,yambio,4.57,28.4,71.37,74,100,1.39,SS,1586378687
119,georgetown,5.41,100.34,80.6,88,40,4.34,MY,1586378687
120,hobart,-42.88,147.33,43.0,87,0,8.05,AU,1586378434
121,cobija,-11.03,-68.77,84.52,57,38,3.65,BO,1586378688
122,constitucion,-35.33,-72.42,61.07,67,42,4.63,CL,1586378688
123,nanakuli,21.39,-158.15,79.0,69,40,8.05,US,1586378545
124,saint george,37.1,-113.58,75.2,19,75,18.34,US,1586378658
125,sao filipe,14.9,-24.5,77.11,64,0,16.71,CV,1586378688
126,husavik,66.04,-17.34,24.8,79,2,4.7,IS,1586378688
127,khatanga,71.97,102.5,29.37,97,100,11.61,RU,1586378689
128,araouane,18.9,-3.53,81.43,11,0,6.17,ML,1586378689
129,half moon bay,37.46,-122.43,66.99,81,90,6.93,US,1586378502
130,roebourne,-20.78,117.13,80.01,64,57,4.07,AU,1586378689
131,zhangye,38.93,100.45,47.19,22,0,3.47,CN,1586378689
132,east london,-33.02,27.91,66.34,63,100,11.79,ZA,1586378689
133,dingle,11.0,122.67,76.57,80,77,7.65,PH,1586378511
134,wegrow,52.4,22.02,53.01,46,0,6.06,PL,1586378690
135,valle nacional,17.78,-96.32,97.63,33,81,4.05,MX,1586378690
136,zaysan,47.47,84.87,43.07,60,46,1.05,KZ,1586378690
137,bairiki,1.33,172.98,84.2,79,20,9.17,KI,1586378529
138,auki,-8.77,160.7,82.04,76,5,4.99,SB,1586378690
139,pacasmayo,-7.4,-79.57,77.92,66,62,13.87,PE,1586378690
140,keti bandar,24.14,67.45,76.53,77,0,11.45,PK,1586378412
141,dakar,14.69,-17.44,78.8,73,0,6.93,SN,1586378478
142,marrakesh,31.63,-8.01,78.8,34,75,9.17,MA,1586378599
143,mattru,7.62,-11.83,80.26,82,17,3.87,SL,1586378691
144,vila,42.03,-8.16,63.0,87,75,3.36,PT,1586378691
145,aklavik,68.22,-135.01,21.2,48,20,3.36,CA,1586378527
146,clyde river,70.47,-68.59,12.2,85,20,5.97,CA,1586378691
147,tiksi,71.69,128.87,5.13,91,33,4.76,RU,1586378692
148,nuuk,64.18,-51.72,30.2,54,20,12.75,GL,1586378692
149,castro,-24.79,-50.01,63.07,48,0,2.15,BR,1586378429
150,the pas,53.83,-101.25,26.6,73,90,9.17,CA,1586378491
151,severobaykalsk,55.65,109.32,29.48,71,0,2.98,RU,1586378692
152,port blair,11.67,92.75,81.54,75,49,4.45,IN,1586378692
153,broken hill,-31.95,141.43,50.0,76,0,3.36,AU,1586378693
154,port macquarie,-31.43,152.92,62.6,100,90,3.36,AU,1586378693
155,koshurnikovo,54.17,93.3,35.06,77,99,2.82,RU,1586378693
156,glace bay,46.2,-59.96,39.99,64,90,5.82,CA,1586378693
157,krasnooktyabrskiy,44.93,38.37,42.01,44,0,4.47,RU,1586378693
158,asau,46.43,26.4,48.99,36,0,2.24,RO,1586378693
159,contamana,-7.33,-75.02,74.3,92,100,2.71,PE,1586378694
160,hofn,64.25,-15.21,29.8,91,70,3.36,IS,1586378694
161,kiunga,-6.12,141.29,72.84,97,100,1.72,PG,1586378694
162,ust-nera,64.57,143.2,13.93,85,35,1.23,RU,1586378694
163,altay,47.87,88.12,46.58,35,0,5.57,CN,1586378694
164,kodiak,57.79,-152.41,35.6,47,1,23.04,US,1586378407
165,talnakh,69.49,88.4,33.8,80,100,15.66,RU,1586378695
166,grajau,-5.82,-46.14,79.21,83,100,1.16,BR,1586378695
167,adendorf,53.28,10.44,59.0,71,34,3.36,DE,1586378695
168,laguna,38.42,-121.42,68.0,63,20,4.7,US,1586378695
169,port-gentil,-0.72,8.78,81.84,85,94,8.21,GA,1586378695
170,nishihara,26.18,127.76,64.4,72,20,2.24,JP,1586378695
171,ulladulla,-35.35,150.47,59.0,93,57,9.17,AU,1586378696
172,mount isa,-20.73,139.5,73.4,33,100,9.17,AU,1586378696
173,urusha,54.05,122.9,18.93,89,0,2.91,RU,1586378696
174,mana,5.66,-53.78,79.88,80,94,8.32,GF,1586378696
